where,video_id,video_title,channel_title,video_url,author_or_field,text_snippet,matched_numbers,matched_keywords
comment,D-UKCOXtKQk,विश्व पैंगोलिन दिवस | World Pangolin Day 2024 | Hindi,Wildlife Conservation Trust,https://www.youtube.com/watch?v=D-UKCOXtKQk,@DineshKumar-fi4xv,contact?,,contact
comment,M9PTXG6ywfE,Pangolin: The MOST Trafficked Mammal In the World #pangolin #mammal #parchamcurrentaffairs,Parcham Classes,https://www.youtube.com/watch?v=M9PTXG6ywfE,@amitbiswas9356,Pangolin ka skin kya kaam me ATA hai Assam me smuggling hota hai,,skin
comment,fYuNzWLJBeg,Pangolin  in Peril: A Wildlife Crisis,Animal Fact Zone,https://www.youtube.com/watch?v=fYuNzWLJBeg,@juliaelrod2154,We need to start a breeding program for them in zoos if we're not already. Poaching is wiping them out.,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@Animalsaleschanell,One pangolin come here my home for sale brother,,for sale
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@donarthiazi2443,Just an anteater... no big deal 🤷,,deal
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@MiTsuRiN09,Pangolins are adorable~ and to think pangolins are one of the most poached animal is just horrible 😢 The medicine made from them have no proven medicinal value. Malayan Pangolins are critically endangered 💔,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@kellydelerenzo262,"They’re also near to extinction and they’re also protected and they’re also hunted by poachers, unfortunately",,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@AussieRonkey,"It is so sad that some can see such an amazing, unique, elegant and beautiful creature and the first thought is ""People will pay a hefty price for that!"". Thank you so much Forest for all you do for conservation.",,price
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@thriftybins,My dream is to hold a tiger cub I would fall apart❤,,tiger
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@charitys9651,we must save them and stop the poaching!,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@normallymute0131,Would love to hold a snow leopard. Absolutely gorgeous animals,,leopard
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@bladingscenery111,Animals that I want to cuddle with list: Tiger Lion Snake Dogs Cats Pangolins Armadillos Leopards Panthers,,"leopard, tiger"
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@Fghgffhj-ex3ok,"They get poached a lot. A big obstacles for conservationists is that one can easily go up, pick them up and toss them in a bag. They can’t run very fast. They don’t bite or scratch. They just curl up in a ball. It’s so sweet and endearing; and so sad that people have to exploit it like they do. This is why we can’t have nice things.",,poach
